代碼,學系,國,英,數甲,數乙,物,化,生,歷,地,公
00501,中國文學系,x2.00,x1.00,--,--,--,--,--,x1.00,--,--
00502,歷史學系,x2.00,x1.50,--,--,--,--,--,x2.00,--,--
00503,哲學系,x2.00,x2.00,--,x2.00,--,--,--,--,--,x1.00
00504,政治學系,x1.50,x1.50,--,x1.00,--,--,--,--,--,x1.50
00505,社會學系,x1.50,x1.50,--,x1.00,--,--,--,--,--,x1.50
00506,社會工作學系,x1.50,x1.50,--,x1.00,--,--,--,--,--,x1.50
00508,英文學系,x1.50,x2.00,--,x1.00,--,--,--,--,--,--
00509,日本語文學系,x1.50,x1.50,--,x1.00,--,--,--,--,--,--
00510,德國文化學系,x1.50,x2.00,--,x1.00,--,--,--,--,--,--
00511,數學系,x1.50,x1.50,x2.00,--,--,--,--,--,--,--
00512,物理學系,--,x1.00,x1.50,--,x2.00,--,--,--,--,--
00513,化學系,--,x1.00,x1.50,--,x1.50,x2.00,--,--,--,--
00514,微生物學系應用微生物組,x1.00,x2.00,--,--,--,x2.00,x1.50,--,--,--
00515,心理學系,x1.00,x2.00,x1.50,--,--,--,--,--,--,--
00516,法律學系,x1.00,x1.50,--,x1.00,--,--,--,x1.00,--,x1.00
00517,經濟學系,x1.50,x2.00,--,x2.00,--,--,--,--,--,--
00518,會計學系,x1.00,x1.50,--,x1.50,--,--,--,--,--,--
00519,企業管理學系,x1.00,x1.50,--,x1.50,--,--,--,--,--,--
00520,國際經營與貿易學系,x1.00,x2.00,--,x1.50,--,--,--,--,--,--
00521,財務工程與精算數學系,x1.00,x1.00,--,x2.00,--,--,--,--,--,--
00523,資訊管理學系,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
00524,微生物學系生物科技組,x1.00,x2.00,--,--,--,x1.50,x2.00,--,--,--
00527,巨量資料管理學院學士學位學程,x1.50,x1.50,--,x2.00,--,--,--,--,--,--
00301,中國文學系,x2.00,x1.50,--,--,--,--,--,x1.25,--,--
00302,外國語文學系,x1.00,x2.00,--,x1.00,--,--,--,x1.00,x1.00,--
00303,財務金融學系,x1.00,x2.00,--,x2.00,--,--,--,--,--,--
00304,企業管理學系,x1.00,x2.00,--,x2.00,--,--,--,--,--,--
00305,法律學系,x1.50,x1.00,--,x1.00,--,--,--,x1.00,--,x1.50
00306,園藝學系,x1.00,x1.50,x1.00,--,--,x1.50,x2.00,--,--,--
