University,DEPARTMENT,CAR1,CAR2,CAR3
國立政治大學,教育學系,中等學校教師,國小學校教師,行政人員
國立政治大學,國文學系,文編／校對／文字工作者,中等學校教師,行政人員
國立政治大學,英國語文學系,國外業務人員,國內業務人員,行銷企劃人員
國立政治大學,日本語文學系,國外業務人員,業務助理,國內業務人員
國立政治大學,阿拉伯語文學系,國外業務人員,業務助理,國內業務人員
國立政治大學,韓國語文學系,其他翻譯／口譯人員,行銷企劃人員,國外業務人員
國立政治大學,土耳其語文學系,國外業務人員,行政人員,行銷企劃人員
國立政治大學,歐洲語文學系,國外業務人員,行銷企劃人員,業務助理
國立政治大學,斯拉夫語文學系,國外業務人員,業務助理,行政助理
國立政治大學,史學系,文編／校對／文字工作者,中等學校教師,行政人員
國立政治大學,哲學系,門市／店員／專櫃人員,行政人員,行政助理
國立政治大學,經濟學系,國外業務人員,行銷企劃人員,國內業務人員
國立政治大學,政治學系,行銷企劃人員,行政人員,國內業務人員
國立政治大學,社會學系,行政人員,活動企劃人員,行銷企劃人員
國立政治大學,民族學系,行政人員,行銷企劃人員,行政助理
國立政治大學,心理學系,人力資源人員,行政人員,研究助理
國立政治大學,公共行政學系,行銷企劃人員,行政助理,行政人員
國立政治大學,地政學系,都市／交通規劃人員,行政人員,不動產產權審核／估價師
國立政治大學,外交學系,國外業務人員,行銷企劃人員,行政人員
國立政治大學,傳播學系,行銷企劃人員,網站行銷企劃,國外業務人員
國立政治大學,新聞學系,記者／採編,文編／校對／文字工作者,行銷企劃人員
國立政治大學,廣播電視學系,行銷企劃人員,影片製作技術人員,節目製作人員
國立政治大學,廣告學系,行銷企劃人員,廣告文案／企劃,活動企劃人員
國立政治大學,會計與資訊科技學系,查帳／審計人員,記帳／出納／一般會計,財務分析／財務人員
國立政治大學,企業管理學系,行銷企劃人員,飯店工作人員,國外業務人員
國立政治大學,國際經營與貿易學系,國外業務人員,行銷企劃人員,國內業務人員
國立政治大學,財務管理學系,財務分析／財務人員,查帳／審計人員,銀行辦事員
國立政治大學,金融學系,銀行辦事員,金融研究員,融資／信用業務人員
國立政治大學,風險管理學系,核保／保險內勤人員,理賠人員,統計精算人員
國立政治大學,財政學系,查帳／審計人員,稅務人員,記帳／出納／一般會計
國立政治大學,法律學系,法務人員,律師,法務助理
國立政治大學,應用數學系,軟體設計工程師,國內業務人員,金融研究員
國立政治大學,統計科學學系,統計精算人員,市場調查／市場分析,研究助理
國立政治大學,資訊管理學系,軟體設計工程師,Internet程式設計師,其他資訊專業人員
國立政治大學,資訊科學學系,軟體設計工程師,Internet程式設計師,其他資訊專業人員
私立世新大學,國文學系,行政人員,門市／店員／專櫃人員,文編／校對／文字工作者
私立世新大學,英語學系,業務助理,門市／店員／專櫃人員,行政人員
私立世新大學,日本語文學系,業務助理,門市／店員／專櫃人員,飯店工作人員
私立世新大學,數位媒體設計學系,平面設計／美編人員,多媒體動畫設計師,美術設計
私立世新大學,經濟學系,國內業務人員,銀行辦事員,行政人員
私立世新大學,社會心理學系,門市／店員／專櫃人員,行政人員,行政助理
私立世新大學,行政管理學系,門市／店員／專櫃人員,行政人員,行政助理
私立世新大學,資訊傳播工程學系,行銷企劃人員,網站行銷企劃,國內業務人員
私立世新大學,口語傳播學系,行銷企劃人員,門市／店員／專櫃人員,行政人員
私立世新大學,新聞學系,記者／採編,行銷企劃人員,文編／校對／文字工作者
私立世新大學,廣播電視學系,影片製作技術人員,節目製作人員,門市／店員／專櫃人員
私立世新大學,公共關係暨廣告學系,行銷企劃人員,門市／店員／專櫃人員,活動企劃人員
私立世新大學,圖文傳播暨數位出版學系,平面設計／美編人員,門市／店員／專櫃人員,行銷企劃人員
私立世新大學,企業管理學系,國內業務人員,門市／店員／專櫃人員,行政人員
私立世新大學,財務金融學系,銀行辦事員,門市／店員／專櫃人員,行政人員
私立世新大學,傳播管理學系,行銷企劃人員,門市／店員／專櫃人員,活動企劃人員
私立世新大學,法律學系,法務人員,法務助理,行政人員
私立世新大學,資訊管理學系,軟體設計工程師,門市／店員／專櫃人員,國內業務人員
私立世新大學,觀光與休閒管理學系,餐飲服務生,飯店工作人員,OP／旅行社人員
私立銘傳大學,華語教學學系,門市／店員／專櫃人員,行政人員,安親班老師
私立銘傳大學,應用中文學系,門市／店員／專櫃人員,行政人員,行政助理
私立銘傳大學,應用英語學系,業務助理,國外業務人員,行政人員
私立銘傳大學,應用日語學系,業務助理,門市／店員／專櫃人員,飯店工作人員
私立銘傳大學,數位媒體設計學系,平面設計／美編人員,多媒體動畫設計師,美術設計
私立銘傳大學,商業設計學系,平面設計／美編人員,商業設計,門市／店員／專櫃人員
私立銘傳大學,商品設計學系,工業設計,平面設計／美編人員,設計助理
私立銘傳大學,諮商與工商心理學系,門市／店員／專櫃人員,行政人員,行政助理
私立銘傳大學,公共事務學系,行政人員,門市／店員／專櫃人員,行政助理
私立銘傳大學,國際事務與外交學位學程,行政人員,飯店工作人員,業務助理
私立銘傳大學,資訊傳播工程學系,門市／店員／專櫃人員,行政人員,軟體設計工程師
私立銘傳大學,新聞學系,記者／採編,行銷企劃人員,門市／店員／專櫃人員
私立銘傳大學,新聞與大眾傳播學位學程,行銷企劃人員,網站行銷企劃,文編／校對／文字工作者
私立銘傳大學,廣播電視學系,節目製作人員,行銷企劃人員,影片製作技術人員
私立銘傳大學,新媒體暨傳播管理學系,門市／店員／專櫃人員,行銷企劃人員,平面設計／美編人員
私立銘傳大學,廣告暨策略行銷學系,行銷企劃人員,活動企劃人員,行政人員
私立銘傳大學,會計與資訊科技學系,查帳／審計人員,記帳／出納／一般會計,財務會計助理
私立銘傳大學,企業管理學系,業務助理,國內業務人員,行政人員
私立銘傳大學,國際企業學系,業務助理,國內業務人員,國外業務人員
私立銘傳大學,國際企業與貿易系,國外業務人員,行銷企劃人員,業務助理
私立銘傳大學,財務金融學系,銀行辦事員,記帳／出納／一般會計,行政人員
私立銘傳大學,經濟與金融學系,業務助理,銀行辦事員,門市／店員／專櫃人員
私立銘傳大學,風險管理學系,保險業務／經紀人,核保／保險內勤人員,銀行辦事員
私立銘傳大學,醫療資訊管理學系,醫院行政管理人員,行政人員,門市／店員／專櫃人員
私立銘傳大學,安全管理學系,門市／店員／專櫃人員,行政人員,行政助理
私立銘傳大學,時尚創意管理學位學程,NULL,NULL,NULL
私立銘傳大學,法律學系,法務人員,法務助理,行政人員
私立銘傳大學,財金法律系,法務助理,法務人員,行政人員
私立銘傳大學,生物科技學系,研究助理,門市／店員／專櫃人員,品管／檢驗人員
私立銘傳大學,應用統計與資料科學學系,門市／店員／專櫃人員,行政人員,記帳／出納／一般會計
私立銘傳大學,資訊管理學系,軟體設計工程師,門市／店員／專櫃人員,Internet程式設計師
私立銘傳大學,資訊科技應用學系,業務助理,軟體設計工程師,資訊助理人員
私立銘傳大學,電子學系,助理工程師,電子工程師,EMC／電子安規工程師
私立銘傳大學,資訊工程學系,軟體設計工程師,Internet程式設計師,門市／店員／專櫃人員
私立銘傳大學,電腦通訊學系,軟體設計工程師,門市／店員／專櫃人員,其他資訊專業人員
私立銘傳大學,生物醫學工程學系,門市／店員／專櫃人員,其他醫療從業人員,行政助理
私立銘傳大學,建築學系,建築設計／繪圖人員,室內設計／裝潢人員,設計助理
私立銘傳大學,都市規劃與防災學系,都市／交通規劃人員,行政人員,行政助理
